PayslipID,EmployeeID,Month,Year,HoursWorked,OvertimeHours,GrossPay,SSS,PhilHealth,PagIbig,WithholdingTax,TotalDeductions,NetPay,GeneratedDate
06-2024-03-13-10031,10031,6,2024,150.65,33.50,25784.87,1125.00,386.77,515.70,584.88,2612.35,23172.52,2026-03-13
06-2024-03-13-10030,10030,6,2024,148.05,30.82,24987.43,1125.00,374.81,499.75,430.97,2430.53,22556.90,2026-03-13
06-2024-03-13-10019,10019,6,2024,144.62,31.08,24572.25,1102.50,368.58,491.44,355.34,2317.87,22254.38,2026-03-13
06-2024-03-13-10018,10018,6,2024,144.17,39.80,25971.26,1125.00,389.57,519.43,620.85,2654.85,23316.41,2026-03-13
06-2024-03-13-10033,10033,6,2024,149.07,27.60,57549.99,1125.00,863.25,1151.00,7769.43,10908.68,46641.30,2026-03-13
06-2024-03-13-10011,10011,6,2024,146.98,34.70,57589.11,1125.00,863.84,1151.78,7778.87,10919.49,46669.62,2026-03-13
06-2024-03-13-10032,10032,6,2024,145.65,35.10,59417.98,1125.00,891.27,1188.36,8220.09,11424.72,47993.27,2026-03-13
06-2024-03-13-10010,10010,6,2024,141.58,28.93,55726.40,1125.00,835.90,1114.53,7329.49,10404.92,45321.48,2026-03-13
06-2024-03-13-10013,10013,6,2024,151.60,34.68,27851.15,1125.00,417.77,557.02,983.67,3083.46,24767.69,2026-03-13
06-2024-03-13-10034,10034,6,2024,145.95,34.55,59296.50,1125.00,889.45,1185.93,8190.78,11391.16,47905.34,2026-03-13
06-2024-03-13-10012,10012,6,2024,146.10,28.58,41642.52,1125.00,624.64,832.85,3931.76,6514.24,35128.27,2026-03-13
06-2024-03-13-10015,10015,6,2024,150.37,37.98,63004.01,1125.00,900.00,1260.08,9096.48,12381.56,50622.44,2026-03-13
06-2024-03-13-10014,10014,6,2024,145.33,38.95,27717.82,1125.00,415.77,554.36,957.94,3053.06,24664.75,2026-03-13
06-2024-03-13-10017,10017,6,2024,152.42,24.12,45478.14,1125.00,682.17,909.56,4857.10,7573.84,37904.31,2026-03-13
06-2024-03-13-10016,10016,6,2024,152.42,30.02,48586.01,1125.00,728.79,971.72,5606.88,8432.39,40153.63,2026-03-13
06-2024-03-13-10020,10020,6,2024,148.27,29.45,25613.11,1125.00,384.20,512.26,551.73,2573.19,23039.92,2026-03-13
06-2024-03-13-10008,10008,6,2024,147.92,27.08,24344.57,1102.50,365.17,486.89,311.40,2265.96,22078.61,2026-03-13
06-2024-03-13-10029,10029,6,2024,151.52,31.27,25527.06,1125.00,382.91,510.54,535.12,2553.57,22973.49,2026-03-13
06-2024-03-13-10007,10007,6,2024,148.85,21.42,44923.81,1125.00,673.86,898.48,4723.37,7420.70,37503.11,2026-03-13
06-2024-03-13-10009,10009,6,2024,147.25,34.42,25482.97,1125.00,382.24,509.66,526.61,2543.52,22939.45,2026-03-13
06-2024-03-13-10022,10022,6,2024,144.95,33.62,26710.65,1125.00,400.66,534.21,763.56,2823.43,23887.22,2026-03-13
06-2024-03-13-10021,10021,6,2024,149.72,32.22,26292.37,1125.00,394.39,525.85,682.83,2728.06,23564.31,2026-03-13
06-2024-03-13-10024,10024,6,2024,152.47,28.18,25138.10,1125.00,377.07,502.76,460.05,2464.89,22673.22,2026-03-13
06-2024-03-13-10002,10002,6,2024,150.32,40.85,71920.56,1125.00,900.00,1438.41,11370.04,14833.45,57087.10,2026-03-13
06-2024-03-13-10023,10023,6,2024,140.07,37.68,25067.79,1125.00,376.02,501.36,446.48,2448.86,22618.93,2026-03-13
06-2024-03-13-10001,10001,6,2024,151.65,38.80,107222.36,1125.00,900.00,2144.45,21748.77,25918.22,81304.14,2026-03-13
06-2024-03-13-10026,10026,6,2024,157.22,22.98,27393.54,1125.00,410.90,547.87,895.35,2979.13,24414.41,2026-03-13
06-2024-03-13-10004,10004,6,2024,148.65,26.00,64695.91,1125.00,900.00,1293.92,9511.00,12829.92,51865.99,2026-03-13
06-2024-03-13-10025,10025,6,2024,147.08,21.37,24827.88,1125.00,372.42,496.56,400.18,2394.16,22433.72,2026-03-13
06-2024-03-13-10003,10003,6,2024,140.25,35.53,65951.85,1125.00,900.00,1319.04,9818.70,13162.74,52789.11,2026-03-13
06-2024-03-13-10028,10028,6,2024,149.77,28.85,26547.55,1125.00,398.21,530.95,732.08,2786.24,23761.31,2026-03-13
06-2024-03-13-10006,10006,6,2024,148.53,33.80,59812.48,1125.00,897.19,1196.25,8315.26,11533.70,48278.78,2026-03-13
06-2024-03-13-10027,10027,6,2024,149.87,33.60,28265.80,1125.00,423.99,565.32,1063.70,3178.00,25087.80,2026-03-13
06-2024-03-13-10005,10005,6,2024,145.62,27.50,56429.19,1125.00,846.44,1128.58,7499.04,10599.06,45830.12,2026-03-13
07-2024-03-13-10031,10031,7,2024,170.30,28.77,27624.18,1125.00,414.36,552.48,939.87,3031.71,24592.47,2026-03-13
07-2024-03-13-10030,10030,7,2024,164.90,36.70,28229.10,1125.00,423.44,564.58,1056.62,3169.63,25059.46,2026-03-13
07-2024-03-13-10019,10019,7,2024,170.42,38.95,29344.62,1125.00,440.17,586.89,1271.91,3423.97,25920.65,2026-03-13
07-2024-03-13-10018,10018,7,2024,175.72,41.55,30489.72,1125.00,457.35,609.79,1492.92,3685.06,26804.67,2026-03-13
07-2024-03-13-10033,10033,7,2024,175.77,30.15,66920.02,1125.00,900.00,1338.40,10055.90,13419.30,53500.71,2026-03-13
07-2024-03-13-10011,10011,7,2024,174.08,31.55,64596.46,1125.00,900.00,1291.93,9486.63,12803.56,51792.90,2026-03-13
07-2024-03-13-10032,10032,7,2024,170.25,35.87,67430.78,1125.00,900.00,1348.62,10181.04,13554.66,53876.12,2026-03-13
07-2024-03-13-10010,10010,7,2024,167.47,42.38,69111.97,1125.00,900.00,1382.24,10592.93,14000.17,55111.80,2026-03-13
07-2024-03-13-10013,10013,7,2024,176.67,23.53,29441.07,1125.00,441.62,588.82,1290.53,3445.96,25995.10,2026-03-13
07-2024-03-13-10034,10034,7,2024,169.12,35.65,66990.56,1125.00,900.00,1339.81,10073.19,13438.00,53552.56,2026-03-13
07-2024-03-13-10012,10012,7,2024,166.47,36.52,48578.00,1125.00,728.67,971.56,5604.94,8430.17,40147.83,2026-03-13
07-2024-03-13-10015,10015,7,2024,167.37,41.07,69645.01,1125.00,900.00,1392.90,10723.53,14141.43,55503.59,2026-03-13
07-2024-03-13-10014,10014,7,2024,166.48,42.60,31391.10,1125.00,470.87,627.82,1666.88,3890.57,27500.53,2026-03-13
07-2024-03-13-10017,10017,7,2024,179.58,38.72,56791.89,1125.00,851.88,1135.84,7586.54,10699.26,46092.63,2026-03-13
07-2024-03-13-10016,10016,7,2024,166.52,45.52,57148.92,1125.00,857.23,1142.98,7672.68,10797.89,46351.03,2026-03-13
07-2024-03-13-10020,10020,7,2024,163.82,44.13,30305.10,1125.00,454.58,606.10,1457.28,3642.96,26662.14,2026-03-13
07-2024-03-13-10008,10008,7,2024,176.55,35.42,29574.53,1125.00,443.62,591.49,1316.29,3476.39,26098.14,2026-03-13
07-2024-03-13-10029,10029,7,2024,172.33,47.05,30957.36,1125.00,464.36,619.15,1583.17,3791.68,27165.68,2026-03-13
07-2024-03-13-10007,10007,7,2024,165.22,47.68,57509.17,1125.00,862.64,1150.18,7759.59,10897.41,46611.76,2026-03-13
07-2024-03-13-10009,10009,7,2024,171.32,30.50,28050.52,1125.00,420.76,561.01,1022.15,3128.92,24921.60,2026-03-13
